round,cid,latency
1,0.0,0.294473648071289
1,2.0,0.3127570152282715
1,1.0,0.3390102386474609
2,2.0,0.3089485168457031
2,1.0,0.3305723667144775
2,0.0,0.3481881618499756
3,0.0,0.3195052146911621
3,1.0,0.3307287693023681
3,2.0,0.3502888679504394
4,0.0,0.305682897567749
4,2.0,0.3173577785491943
4,1.0,0.3398802280426025
5,0.0,0.3021836280822754
5,1.0,0.3396735191345215
5,2.0,0.3478662967681885
6,1.0,0.286182165145874
6,0.0,0.2940349578857422
6,2.0,0.323544979095459
7,0.0,0.2996342182159424
7,1.0,0.3135790824890136
7,2.0,0.3382148742675781
8,1.0,0.2851672172546386
8,2.0,0.2908868789672851
9,0.0,0.281562328338623
9,2.0,0.2994399070739746
10,1.0,0.2910957336425781
10,2.0,0.3226468563079834
11,1.0,0.2896718978881836
11,2.0,0.2971007823944092
11,0.0,0.3248546123504638
12,2.0,0.2926335334777832
12,1.0,0.3355617523193359
12,0.0,0.3416492938995361
13,0.0,0.2835636138916015
13,1.0,0.2943086624145508
13,2.0,0.3325703144073486
14,2.0,0.2544090747833252
14,1.0,0.3063740730285644
15,2.0,0.2645759582519531
15,1.0,0.3103213310241699
15,0.0,0.317880630493164
16,1.0,0.2552418708801269
16,0.0,0.3077201843261719
16,2.0,0.3362250328063965
17,2.0,0.2596673965454101
17,1.0,0.3123161792755127
17,0.0,0.3368961811065674
18,0.0,0.3006744384765625
18,2.0,0.3240554332733154
18,1.0,0.3313210010528564
19,0.0,0.2807013988494873
19,1.0,0.2967047691345215
19,2.0,0.3234996795654297
20,2.0,0.2660641670227051
20,1.0,0.3162879943847656
20,0.0,0.3248615264892578
21,2.0,0.2602672576904297
21,1.0,0.3097987174987793
21,0.0,0.3291957378387451
22,1.0,0.2880408763885498
22,2.0,0.2972481250762939
22,0.0,0.312598705291748
23,1.0,0.3056192398071289
23,2.0,0.3127603530883789
23,0.0,0.3242926597595215
24,2.0,0.2795464992523193
24,0.0,0.306729793548584
24,1.0,0.3215804100036621
25,1.0,0.2839171886444092
25,0.0,0.300879955291748
25,2.0,0.3122453689575195
26,1.0,0.278611421585083
7,,
26,2.0,0.3260869979858398
27,1.0,0.2812633514404297
27,0.0,0.2910306453704834
27,2.0,0.3135409355163574
28,1.0,0.2948884963989258
28,0.0,0.3026530742645263
28,2.0,0.3303530216217041
29,1.0,0.2764487266540527
29,2.0,0.3017160892486572
29,0.0,0.324127197265625
30,2.0,0.2807562351226806
30,1.0,0.296746015548706
30,0.0,0.3060486316680908
31,0.0,0.2842690944671631
31,1.0,0.3104872703552246
32,2.0,0.2734489440917969
32,0.0,0.2922930717468261
33,2.0,0.2864003181457519
33,0.0,0.3075530529022217
33,1.0,0.3282201290130615
34,1.0,0.2824664115905761
34,0.0,0.2982337474822998
34,2.0,0.3156089782714844
35,0.0,0.2805349826812744
35,2.0,0.2987744808197021
35,1.0,0.3172006607055664
36,0.0,0.279069185256958
36,2.0,0.3024666309356689
36,1.0,0.319655179977417
37,0.0,0.2821815013885498
37,1.0,0.2933671474456787
38,1.0,0.2840440273284912
38,0.0,0.3044407367706299
39,1.0,0.3007667064666748
39,2.0,0.3228673934936523
40,2.0,0.2886133193969726
40,0.0,0.2983908653259277
40,1.0,0.3176577091217041
41,1.0,0.2687413692474365
41,0.0,0.2893304824829101
41,2.0,0.309058666229248
42,0.0,0.2565507888793945
42,1.0,0.2791752815246582
42,2.0,0.2863566875457763
43,0.0,0.2842504978179931
43,1.0,0.2953855991363525
44,0.0,0.2803268432617187
44,2.0,0.2989988327026367
44,1.0,0.312432050704956
45,0.0,0.284717321395874
45,1.0,0.3014547824859619
45,2.0,0.3206660747528076
46,0.0,0.2852852344512939
46,1.0,0.2946877479553222
46,2.0,0.3229727745056152
47,1.0,0.2749717235565185
47,2.0,0.2956924438476562
47,0.0,0.3015835285186767
48,2.0,0.2879445552825928
48,0.0,0.3206572532653808
49,2.0,0.2766199111938476
49,1.0,0.3024604320526123
49,0.0,0.317263126373291
50,2.0,0.297656774520874
3,,
50,0.0,0.3241188526153564
51,1.0,0.2552154064178467
51,2.0,0.2917306423187256
51,0.0,0.3162872791290283
52,1.0,0.2559380531311035
52,0.0,0.2841482162475586
52,2.0,0.322092056274414
53,0.0,0.2736382484436035
53,1.0,0.2978522777557373
53,2.0,0.3331747055053711
54,2.0,0.2813348770141601
54,0.0,0.2910192012786865
54,1.0,0.2974729537963867
55,1.0,0.2959463596343994
55,2.0,0.324686050415039
56,0.0,0.2868530750274658
56,2.0,0.2957594394683838
56,1.0,0.3019249439239502
57,0.0,0.274777889251709
57,1.0,0.3014421463012695
58,2.0,0.2791283130645752
58,0.0,0.2872884273529053
58,1.0,0.297527551651001
59,2.0,0.2798693180084228
59,0.0,0.2964892387390136
60,1.0,0.276275634765625
60,2.0,0.303692102432251
61,1.0,0.2773387432098388
61,2.0,0.2851159572601318
61,0.0,0.297574520111084
62,0.0,0.2761969566345215
62,1.0,0.3014783859252929
63,2.0,0.2775793075561523
63,0.0,0.2848234176635742
63,1.0,0.3093924522399902
64,0.0,0.2836968898773193
64,1.0,0.2919960021972656
64,2.0,0.3000552654266357
65,2.0,0.2759690284729004
65,0.0,0.2962496280670166
65,1.0,0.3241655826568603
66,1.0,0.3052942752838135
66,2.0,0.3277497291564941
66,0.0,0.3362064361572265
67,0.0,0.2920584678649902
67,2.0,0.3080525398254394
67,1.0,0.3146264553070068
68,1.0,0.2991945743560791
68,2.0,0.311044692993164
69,0.0,0.2820568084716797
69,1.0,0.3079237937927246
69,2.0,0.3178882598876953
70,1.0,0.2566385269165039
70,2.0,0.2796413898468017
70,0.0,0.3086795806884765
71,2.0,0.280996561050415
71,1.0,0.3066086769104004
72,1.0,0.2818939685821533
72,2.0,0.2956917285919189
72,0.0,0.3242220878601074
73,1.0,0.2830936908721924
73,2.0,0.2926430702209472
73,0.0,0.3187358379364013
74,0.0,0.2807216644287109
74,2.0,0.2962002754211426
74,1.0,0.3171632289886474
75,0.0,0.2799756526947021
75,1.0,0.2920191287994385
75,2.0,0.3211679458618164
76,0.0,0.2844102382659912
76,2.0,0.3156394958496094
76,1.0,0.3273723125457763
77,1.0,0.2785050868988037
77,2.0,0.2942707538604736
78,0.0,0.2812657356262207
78,2.0,0.2942237854003906
78,1.0,0.3210339546203613
79,0.0,0.2760384082794189
79,2.0,0.2857205867767334
79,1.0,0.3044791221618652
80,1.0,0.2743022441864013
